,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note
0,49078,0,0,0,0,0,0,0,0,0,code start
1,49081,0,0,0,0,0,0,0,0,1,customBlock
2,49086,2,0,0,0,0,0,0,0,1,"varDec = sides, varDec = length"
3,49103,2,0,0,0,0,1,0,0,1,down
4,49109,2,0,0,0,0,1,1,0,1,dorepeat
5,49110,2,1,0,0,0,1,1,0,1,"      doRepeat(!!!!![var=sides], script)"
6,49114,2,1,0,0,0,1,2,0,1,   turn in dorepeat
7,49115,2,1,0,0,0,1,3,0,1,   turn correct degrees
8,49120,2,1,0,0,0,1,4,0,1,"        !!!!!  doChangeVar([varMenu=], [literal=1]) in repeat"
9,49125,2,1,0,0,1,1,5,0,1,"               doChangeVar([varMenu=Growth], [literal=!!!!!.2]) in repeat"
10,49141,2,1,0,0,1,1,6,0,1, forward in repeat
11,49159,2,2,0,0,1,1,7,0,1,"        forward(reportProduct([var=length], [var=Growth]))"
12,49727,2,2,0,0,1,1,7,0,1,"   code end, did not succeed because input sides not rotation"
