,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note
0,42785,0,0,0,0,0,0,code start
1,42788,0,0,0,0,0,1,  [!!!!!customBlock=polygon] {
2,42792,1,0,0,0,0,1,varDec=length
3,42800,2,0,0,0,0,1,    [varDec=pen]
4,42802,3,0,0,0,0,1, [varDec=sides]
5,42809,3,1,0,0,0,1,   forward([!!!!!var=length]) but not in repeat
6,42846,3,1,1,0,0,1, setSize([literal=1])
7,42867,3,1,2,0,0,1, down
8,43062,3,2,3,0,0,1,setSize([!!!!!var=thickness])
9,43066,3,2,3,1,0,1,"oRepeat([literal=10], script)"
10,43069,3,3,3,2,0,1,"      doRepeat([!!!!!var=sides], script)"
11,43073,3,3,3,3,0,1,"   doRepeat([var=sides], script!!!!! {forward([literal=10])})"
12,43085,3,3,3,4,0,1,           forward([var=thickness])
13,43146,3,3,3,4,0,1, turn([literal=15]) in repeat
14,43228,3,3,3,4,2,1,"  turn(reportQuotient([literal=360], literal))"
15,43233,3,4,3,5,3,1,"         turn(reportQuotient([literal=360], !!!!![var=sides]))"
