,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,55771,0,0,0,0,0,0,code start,QgWvIWV/mT.GFG1G,19
1,55784,0,0,0,0,0,1,  [customBlock=Draw a square] {,QgWvIWV/mT.GFG1G,19
2,55793,0,0,1,0,0,1, down,QgWvIWV/mT.GFG1G,19
3,55798,0,0,1,1,0,1," doRepeat([literal=10], script)",QgWvIWV/mT.GFG1G,19
4,55802,0,0,1,2,0,1,forward in repeat,QgWvIWV/mT.GFG1G,19
5,55806,0,0,1,3,0,1,turn in repeat,QgWvIWV/mT.GFG1G,19
6,55842,1,0,1,3,0,1, [varDec=Size],QgWvIWV/mT.GFG1G,19
7,55845,1,1,1,4,0,1,        forward([var=Size]),QgWvIWV/mT.GFG1G,19
8,55886,2,1,1,4,0,1,varDec=sides,QgWvIWV/mT.GFG1G,19
9,55887,3,1,1,4,0,1,varDec=thickness,QgWvIWV/mT.GFG1G,19
10,55916,3,2,1,5,0,1," doRepeat([var=Sides], s",QgWvIWV/mT.GFG1G,19
11,55923,3,2,2,5,0,1, setSize([literal=1]),QgWvIWV/mT.GFG1G,19
12,55926,3,3,3,5,0,1,   setSize([!!!!!var=Thickness]),QgWvIWV/mT.GFG1G,19
