,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,36661,0,0,0,0,0,0,code start,CXTDTFPY4a3f0IZy,11,0.0
1,36664,0,0,0,0,0,1,!  [customBlock=Draw Shape Size Sides Thickness] {,CXTDTFPY4a3f0IZy,11,232.0
2,36674,1,0,0,0,0,1,    [varDec=Size],CXTDTFPY4a3f0IZy,11,266.0
3,36676,3,0,0,0,0,1,    [varDec=Thickness],CXTDTFPY4a3f0IZy,11,276.0
4,36694,3,0,1,0,0,1, down,CXTDTFPY4a3f0IZy,11,326.0
5,36706,3,0,2,0,0,1,setSize([literal=1]),CXTDTFPY4a3f0IZy,11,361.0
6,36724,3,1,3,0,0,1,      setSize([var=Thickness]),CXTDTFPY4a3f0IZy,11,425.0
7,36728,3,1,3,1,0,1," doRepeat([literal=10], script)",CXTDTFPY4a3f0IZy,11,431.0
8,36731,3,2,3,2,0,1,"doRepeat([!!!!!var=Sides], script)",CXTDTFPY4a3f0IZy,11,438.0
9,36735,3,2,3,3,0,1," doRepeat([var=Sides], script!!!!! {forward([literal=10])",CXTDTFPY4a3f0IZy,11,463.0
10,36739,3,1,3,2,0,1," doRepeat([var=Si!!!!!ze],  was previously sides",CXTDTFPY4a3f0IZy,11,465.0
11,36767,3,1,3,3,0,1,turn([literal=15]),CXTDTFPY4a3f0IZy,11,557.0
12,36780,3,1,3,3,1,1,"        turn(!!!!!reportQuotient(literal, literal))",CXTDTFPY4a3f0IZy,11,576.0
13,36784,3,1,3,4,3,1,"        turn(reportQuotient([literal=360], !!!!![var=Sides]))",CXTDTFPY4a3f0IZy,11,581.0
14,36789,3,2,3,4,3,1,"turn(reportQuotient([literal=360], !!!!![var=Sides]))",CXTDTFPY4a3f0IZy,11,601.0
15,36826,3,3,3,5,3,1,doRepeat([var=Si!!!!!des],CXTDTFPY4a3f0IZy,11,761.0
16,36840,3,4,3,6,3,1, forward([var=Size]),CXTDTFPY4a3f0IZy,11,777.0
