,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,18951,0,0,0,0,0,0,0,0,0, code start,3z8WDCNQ5Gu4pizy,5,0.0
1,18956,0,0,0,0,0,0,0,0,1, custom Block,3z8WDCNQ5Gu4pizy,5,73.0
2,18958,1,0,0,0,0,0,0,0,1,    [varDec=NumberOfRotations],4z8WDCNQ5Gu4pizy,5,106.0
3,18988,1,0,0,0,0,1,0,0,1, down,4z8WDCNQ5Gu4pizy,5,241.0
4,19020,1,0,0,0,0,1,1,0,1, doRepeat,5z8WDCNQ5Gu4pizy,5,283.0
5,19021,1,0,0,0,0,1,4,0,1," doRepeat(forward, turn(90))",5z8WDCNQ5Gu4pizy,5,284.0
6,19064,1,1,0,0,0,1,4,0,1, repeat(number of rotations),6z8WDCNQ5Gu4pizy,5,362.0
7,19122,1,1,1,1,1,1,5,0,1,"          doChangeVar([varMenu=rotationcounter], [literal=1]) in repeat",6z8WDCNQ5Gu4pizy,5,644.0
8,19142,1,1,1,1,1,1,6,0,1,"         forward(reportSum([literal=10], [var=rotationcounter]))",7z8WDCNQ5Gu4pizy,5,663.0
9,19202,1,1,2,1,1,1,6,0,1,"      doSetVar([varMenu=!!!!!rotationcounter], [literal=0]) (initialize rotationCounter)",7z8WDCNQ5Gu4pizy,5,732.0
10,19498,1,1,2,1,1,1,7,0,1,"      correct:    doChangeVar([varMenu=rotationcounter], [literal=10]) in repeat",8z8WDCNQ5Gu4pizy,5,342864.0
11,19514,1,1,2,1,1,1,8,1,1,     repeat correct times,8z8WDCNQ5Gu4pizy,5,342914.0
12,19601,1,1,2,1,1,1,8,1,1," code end,succeed",9z8WDCNQ5Gu4pizy,5,343215.0
